surface_name	site_name	species_name	formation_energy	frequencies	reference
Rh	111	C	2.056	[541.152563, 481.581622, 478.724301]	Input File Tutorial.
Rh	111	C-CH2O	1.9930882	[3008.64004, 2926.28881, 1532.585358, 1361.715629, 1186.820344, 1042.148369, 602.140036, 486.381164, 443.824637, 393.42248, 252.657792, 114.843865, 70.390008, 44.691606]	Input File Tutorial.
Rh	111	C-CH2OH	1.1644899	[3716.35089, 3167.868023, 3035.175779, 1456.696987, 1370.330748, 1161.643299, 1105.839055, 972.188512, 732.333598, 566.01095, 508.737668, 458.580469, 452.760102, 192.496432, 146.747878, 100, 84.653356]	Input File Tutorial.
Rh	111	C-CHO	2.1335282	[2918.844258, 1602.790174, 1192.879855, 815.854513, 547.38309, 486.021344, 473.533146, 385.071858, 261.565114, 147.5386, 58.863486]	Input File Tutorial.
Rh	111	C-CHOH	1.7024231	[3647.86301, 3012.024286, 1391.422579, 1226.131834, 1158.330383, 861.304142, 580.544636, 553.271829, 519.763072, 468.758267, 293.853248, 270.131383, 151.735053, 33.350843]	Input File Tutorial.
Rh	111	C-CHOOH	-0.665	[3666.985715, 3037.551366, 1398.890233, 1264.115891, 1201.335915, 1084.627347, 947.974332, 583.661135, 570.226445, 514.487686, 460.600899, 370.963569, 304.404688, 201.274471, 127.24567, 75.688558, 49.985884]	Input File Tutorial.
Rh	111	C-CO	1.8961716	[1915.911009, 594.968227, 506.622952, 423.5268, 398.896702, 337.285926, 169.881791, 93.116575]	Input File Tutorial.
Rh	111	C-COH	1.5432296	[3668.816779, 1219.433174, 1127.103806, 587.651019, 468.710335, 443.734646, 340.570277, 328.368899, 215.088233, 179.20697, 125.204476]	Input File Tutorial.
Rh	111	C-COO	-0.45	[1930.640207, 1150.105965, 641.913594, 591.38394, 532.097789, 471.469034, 308.802243, 240.911772, 109.06376, 82.538223, 16.014972]	Input File Tutorial.
Rh	111	C-COOH	-0.722	[3706.792227, 1457.048125, 1214.427277, 1062.201978, 664.263382, 593.557787, 536.552028, 490.49644, 437.06079, 311.598419, 262.496703, 207.548523, 140.434768, 118.599145]	Input File Tutorial.
Rh	111	C-H	2.353	[1288.366809, 694.309829, 572.404545, 274.183288, 166.323836]	Input File Tutorial.
Rh	111	C-O	1.48	[540.853045, 469.450426, 430.035648, 299.297913, 201.499601]	Input File Tutorial.
Rh	111	C-OH	0.491	[3705.996396, 791.158403, 542.62055, 492.753639, 441.548596, 419.166443, 349.612638, 118.651321]	Input File Tutorial.
Rh	111	CC(-H)O	1.8138673	[1820.42287, 1702.511016, 1139.298346, 725.898349, 641.576692, 415.50759, 384.578981, 285.629812, 198.583934, 129.556374, 40.882714]	Input File Tutorial.
Rh	111	CC(-H)OH	1.5807296	[3702.733036, 1752.882496, 1333.949692, 1174.669654, 943.337938, 628.314241, 599.072344, 502.276629, 416.972594, 387.980527, 340.206079, 265.44532, 141.804237, 67.614598]	Input File Tutorial.
Rh	111	CC(-H)OOH	-0.549	[3719.742372, 1688.45898, 1321.659748, 1223.338385, 1092.626985, 1048.418556, 969.155574, 777.30913, 628.851212, 596.954848, 501.315805, 341.972324, 290.173953, 277.16012, 234.586146, 163.730474, 141.698995]	Input File Tutorial.
Rh	111	CCH(-H)O	1.5335937	[2980.271988, 1667.60753, 1252.365041, 1138.066322, 1071.068275, 1026.311804, 777.929614, 621.967332, 505.642321, 476.198746, 344.158643, 280.858326, 224.319983, 155.959959]	Input File Tutorial.
Rh	111	CCH(-H)OH	1.4135137	[3739.840191, 3040.070624, 1779.90798, 1381.999172, 1231.028587, 1145.274011, 1071.932574, 1017.978065, 662.915274, 619.905626, 478.675708, 429.796849, 361.325549, 289.37051, 252.230368, 135.539697, 78.698635]	Input File Tutorial.
Rh	111	CCH2O	0.79289377	[3002.374824, 2949.52103, 1450.685877, 1266.464516, 1129.512214, 1033.885796, 956.455769, 840.865666, 586.823408, 474.266353, 391.01967, 315.55699, 252.006927, 201.14281, 128.058295]	Input File Tutorial.
Rh	111	CCH2O-H	1.4836099	[2984.38243, 2932.27638, 1433.129642, 1258.352168, 1143.370257, 981.600872, 926.173846, 883.860453, 772.797022, 597.884225, 491.430857, 428.493777, 412.154946, 290.000485, 191.977818, 182.977213, 141.096806]	Input File Tutorial.
Rh	111	CCH2OH	-0.30763614	[3703.948092, 3028.523115, 2938.547125, 1447.891914, 1361.906869, 1288.31608, 1156.804046, 1028.611958, 968.733132, 910.987055, 590.728744, 407.456423, 386.862009, 303.567461, 236.358187, 148.038871, 90.78442, 70.065744]	Input File Tutorial.
Rh	111	CCHO	1.0807972	[2887.18071, 1630.999734, 1338.044139, 1019.078122, 922.105805, 650.235234, 417.832707, 383.87837, 248.273209, 169.934536, 75.998621, 28.046465]	Input File Tutorial.
Rh	111	CCHO-H	1.749007	[3070.392786, 1474.137931, 1308.23124, 1202.167101, 1132.908647, 927.47048, 754.445241, 724.800829, 449.464823, 418.578267, 347.160884, 245.441957, 157.598584, 58.467401]	Input File Tutorial.
Rh	111	CCHO-OH	-0.741	[3684.372475, 3003.427551, 1325.803537, 1246.647755, 1044.682313, 1017.111365, 897.116995, 647.448851, 578.857167, 566.546889, 422.874035, 386.423221, 302.832295, 268.185392, 213.806336, 150.140482, 91.737277]	Input File Tutorial.
Rh	111	CCHOH	0.5035603	[3753.108986, 3091.072789, 1438.882718, 1243.279171, 1183.423984, 1041.329725, 796.004314, 640.299887, 471.63368, 401.87915, 367.361298, 293.78987, 250.244987, 96.798837, 84.731309]	Input File Tutorial.
Rh	111	CCHOOH	-1.103	[3620.822827, 3033.35787, 1389.775363, 1252.471047, 1204.071014, 1065.576333, 967.32569, 779.747788, 661.899948, 546.01072, 522.547481, 459.698358, 393.489789, 314.679726, 249.977691, 177.909328, 121.068604, 105.66477]	Input File Tutorial.
Rh	111	CCO	1.3263798	[2072.933366, 1205.298168, 542.255562, 534.779875, 335.493389, 332.740933, 295.404794, 73.896535, 25.770508]	Input File Tutorial.
Rh	111	CCO-H	1.6340108	[1708.603769, 1163.715146, 1040.715278, 553.72993, 519.392744, 394.244481, 306.706607, 274.513265, 247.399092, 208.822825, 84.719115]	Input File Tutorial.
Rh	111	CCO-O	-0.089	[1960.582367, 1046.241324, 581.409883, 533.499622, 489.204539, 391.5833, 341.705384, 314.393211, 274.502688, 137.049591, 41.991699]	Input File Tutorial.
Rh	111	CCO-OH	-0.91	[3700.691663, 1961.067263, 1076.703607, 810.826194, 568.144671, 548.672378, 493.479341, 432.046644, 380.879292, 301.01309, 283.83454, 139.611709, 124.033756, 70.588241]	Input File Tutorial.
Rh	111	CCOH	1.7280054	[3687.929831, 1317.510111, 1192.495186, 950.269707, 620.733427, 496.71522, 416.206919, 390.381555, 353.599671, 269.025017, 165.53686, 68.033924]	Input File Tutorial.
Rh	111	CCOO	-0.743	[1654.362931, 1014.536049, 820.103935, 677.768748, 668.784581, 578.419297, 435.106213, 300.073613, 281.309905, 155.908456, 105.717454, 71.81353]	Input File Tutorial.
Rh	111	CCOO-H	-0.228	[1670.765636, 994.676828, 875.702406, 791.532741, 690.717845, 632.942542, 584.18847, 470.667483, 420.827651, 273.484418, 223.695886, 141.205196, 85.215296, 44.360317]	Input File Tutorial.
Rh	111	CCOOH	-1.706	[3704.766661, 1674.281929, 1302.283923, 1086.866031, 936.98833, 711.139536, 616.6925, 579.243121, 545.931137, 391.29253, 254.52463, 224.484463, 63.064612, 46.143027, 40.302807]	Input File Tutorial.
Rh	111	CH	1.244	[3000.50292, 704.838223, 696.912141, 575.831294, 413.207512, 410.758213]	Input File Tutorial.
Rh	111	CH(-H)CH2O	0.7042488	[2968.436825, 2908.202795, 2874.949958, 1927.294504, 1423.96712, 1306.632173, 1184.266837, 1178.721643, 1027.62588, 975.353802, 893.113751, 879.820428, 620.204171, 491.166179, 454.856486, 386.346942, 291.591755, 182.557433, 142.627228, 60.3064]	Input File Tutorial.
Rh	111	CH(-H)CH2OH	0.26818144	[3662.012189, 2996.479644, 2945.376585, 2823.888958, 1938.749808, 1450.756385, 1378.912678, 1319.847513, 1230.26533, 1149.674401, 1014.295136, 987.918231, 952.937162, 895.016968, 583.029305, 458.893464, 391.886632, 361.531058, 256.423791, 218.387644, 164.244381, 132.755757, 104.068611]	Input File Tutorial.
Rh	111	CH(-H)CHOOH	-1.376	[3649.885024, 2981.070874, 2930.110619, 1919.178353, 1369.82095, 1278.41866, 1211.872585, 1169.87858, 1000.605914, 972.107539, 935.605083, 860.349069, 635.060529, 589.263313, 556.072444, 459.733173, 372.546282, 346.409811, 331.250479, 239.525227, 127.990659, 54.81931, 34.031141]	Input File Tutorial.
Rh	111	CH-CH2O	1.4695933	[3024.847313, 2942.640604, 2932.556417, 1486.173465, 1294.913201, 1183.856014, 1023.255833, 736.681138, 720.74155, 639.628384, 522.673326, 396.85091, 374.84523, 264.627537, 150.458104, 100, 50.443219]	Input File Tutorial.
Rh	111	CH-CH2OH	1.5848924	[3606.274686, 3101.246961, 2970.41884, 2884.863563, 1441.769923, 1356.760623, 1181.753699, 1118.642857, 1046.286641, 1000.574281, 759.680858, 617.609111, 517.167234, 429.280341, 388.799132, 310.002991, 235.597432, 196.017413, 69.82869, 41.06335]	Input File Tutorial.
Rh	111	CH-CHO	1.1771299	[2989.70902, 2961.771584, 1337.590442, 1238.700164, 923.424802, 824.224971, 636.150565, 547.243507, 517.216388, 415.435702, 374.863126, 312.019125, 193.379278, 156.926688]	Input File Tutorial.
Rh	111	CH-CHOH	1.4798844	[3563.89977, 3023.629939, 2988.980618, 1353.050397, 1155.661702, 1017.39762, 925.149805, 847.013371, 711.297966, 565.129176, 450.117054, 409.258058, 363.406288, 266.412887, 247.406483, 123.193913, 63.51665]	Input File Tutorial.
Rh	111	CH-CHOOH	-1.005	[3659.76123, 3015.324412, 2885.337869, 1396.144812, 1269.693439, 1205.150523, 1074.898626, 949.546671, 767.550195, 714.688277, 581.239157, 532.413507, 516.701781, 407.261383, 366.307387, 270.627339, 221.313718, 105.404632, 100, 52.369075]	Input File Tutorial.
Rh	111	CH-CO	1.3549768	[3005.53066, 1844.669353, 940.777397, 603.521824, 557.503639, 437.282181, 419.067739, 357.397283, 301.940165, 149.630037, 100]	Input File Tutorial.
Rh	111	CH-COH	1.3160467	[3686.484402, 3061.054427, 1201.292894, 1112.791451, 933.606496, 739.95883, 618.824197, 461.751087, 419.47182, 324.366686, 314.269233, 234.108304, 198.048754, 121.819006]	Input File Tutorial.
Rh	111	CH-COO	-0.755	[2947.859685, 1882.218923, 1143.859624, 839.512166, 688.943113, 625.350632, 540.651134, 505.122264, 384.63896, 274.525152, 205.009781, 120.303313, 107.126347, 42.591266]	Input File Tutorial.
Rh	111	CH-COOH	-1.286	[3699.231162, 3006.137087, 1428.864428, 1212.152326, 1030.323021, 941.840588, 663.595201, 617.737932, 586.725028, 509.583129, 455.108695, 417.05954, 301.714533, 259.436468, 183.041365, 138.53174, 117.417742]	Input File Tutorial.
Rh	111	CH-H	1.45	[2580.366627, 1945.408304, 1086.649439, 896.38396, 623.430545, 479.097944, 301.008131, 235.461909]	Input File Tutorial.
Rh	111	CH-O	0.642	[3051.987273, 1006.020597, 755.093677, 532.090127, 404.567304, 325.608281, 242.686932, 133.705649]	Input File Tutorial.
Rh	111	CH-OH	-0.279	[3676.66432, 3080.087727, 849.446328, 771.229462, 695.299567, 628.730755, 589.843326, 436.786317, 396.046002, 144.668796, 130.468146]	Input File Tutorial.
Rh	111	CH2	1.281	[3002.555, 2437.502459, 1408.082962, 732.511425, 570.729386, 492.192474, 414.070885, 322.791152, 149.698041]	Input File Tutorial.
Rh	111	CH2(-H)CHOO	-1.126	[3086.997062, 3017.514644, 2888.783983, 1562.513487, 1401.961226, 1281.385259, 1236.236781, 1134.456793, 1062.987061, 999.874704, 876.868567, 783.559986, 736.493037, 670.970449, 529.526378, 418.871463, 400.560222, 379.32718, 339.71085, 324.161996, 144.930336, 133.527785, 106.227496]	Input File Tutorial.
Rh	111	CH2-CH2O	1.5330977	[3067.889914, 2991.830888, 2981.067457, 2805.42279, 1437.958067, 1359.013592, 1226.619783, 1178.340544, 996.597647, 942.773225, 809.731242, 775.396228, 590.608161, 461.701109, 423.465207, 239.79418, 223.080548, 148.381114, 134.267536, 93.769812]	Input File Tutorial.
Rh	111	CH2-CH2OH	1.3305227	[3656.273297, 3078.942362, 3033.626135, 3016.896491, 2956.731341, 1446.286553, 1355.726913, 1322.518495, 1224.927092, 1098.180279, 1023.565234, 962.699286, 891.509033, 747.494301, 648.414969, 459.798428, 438.165078, 391.685076, 216.764963, 210.163601, 157.278182, 104.386912, 88.551815]	Input File Tutorial.
Rh	111	CH2-CHO	1.386507	[2999.42894, 2958.6573, 2738.107741, 1355.240993, 1344.781164, 1229.548592, 931.58338, 817.751918, 761.428413, 566.145994, 552.303347, 464.364029, 386.677702, 305.313966, 187.975252, 153.322699, 96.96533]	Input File Tutorial.
Rh	111	CH2-CHOH	0.88657576	[3570.224805, 3077.183538, 3026.882726, 2974.696443, 1376.628089, 1344.445641, 1190.362862, 1093.999259, 904.16444, 895.789572, 843.591042, 616.592178, 529.785999, 483.709355, 442.038368, 341.634158, 254.547972, 141.367696, 100.610891, 82.603461]	Input File Tutorial.
Rh	111	CH2-CHOO	-0.938	[3091.959675, 2986.669036, 2944.586334, 1338.033689, 1312.418029, 1186.143636, 1127.009064, 1004.658056, 788.349986, 770.33988, 679.19401, 662.131061, 516.571993, 401.686177, 366.37389, 350.034369, 284.919269, 117.105031, 111.397568, 99.471337]	Input File Tutorial.
Rh	111	CH2-CHOOH	-1.005	[3692.79064, 3069.682464, 3043.38349, 2968.864315, 1404.084516, 1334.252615, 1267.758076, 1246.857188, 1068.774703, 945.903136, 823.446449, 733.659465, 636.589106, 604.413797, 551.683871, 476.868571, 380.564729, 247.05237, 179.794751, 115.921766, 100, 71.292817, 35.655316]	Input File Tutorial.
Rh	111	CH2-CO	1.2179644	[3001.326553, 2852.337422, 1871.752885, 1323.014989, 928.037894, 844.763963, 523.020206, 520.709979, 439.442961, 387.12899, 339.303299, 134.847238, 100, 81.869186]	Input File Tutorial.
Rh	111	CH2-COH	1.4724638	[3632.150224, 3025.656996, 2963.604552, 1351.455842, 1189.328905, 1085.123317, 947.14067, 756.37547, 559.956033, 527.27914, 415.006422, 364.442388, 329.925959, 262.828343, 187.181559, 143.739022, 100]	Input File Tutorial.
Rh	111	CH2-COO	-0.618	[3104.33434, 2999.757137, 1894.719326, 1350.812591, 1155.907216, 855.194833, 686.966702, 591.786155, 590.800375, 490.144783, 391.255199, 258.27275, 118.041092, 111.04214, 100, 75.494753, 66.112342]	Input File Tutorial.
Rh	111	CH2-COOH	-1.47	[3693.173969, 2980.522321, 2693.794198, 1429.942603, 1328.876239, 1205.46379, 1042.804771, 913.343668, 827.89611, 658.992165, 536.576516, 492.939299, 471.449215, 434.02898, 358.991625, 273.597551, 215.884925, 141.376958, 97.490724, 75.530476]	Input File Tutorial.
Rh	111	CH2-H	1.304	[3033.60223, 2951.712152, 1913.347928, 1372.136828, 971.881792, 843.40053, 614.881704, 530.387501, 334.917517, 307.341959, 91.389649]	Input File Tutorial.
Rh	111	CH2-O	0.227	[3137.401388, 3028.545, 1355.733629, 917.570901, 692.287459, 603.727783, 539.516207, 456.46412, 280.35113, 155.447409, 150.488338]	Input File Tutorial.
Rh	111	CH2-OH	-0.259	[3691.110519, 3046.250449, 2554.467231, 1432.062319, 851.429192, 760.479338, 667.512789, 584.612551, 546.167924, 495.652243, 374.526906, 198.419529, 183.506896, 168.881427]	Input File Tutorial.
Rh	111	CH2C(-H)O	0.71207714	[3157.798835, 3056.251781, 1810.645323, 1436.211219, 1368.324912, 1067.178224, 966.89148, 900.690397, 718.442584, 601.138168, 574.490815, 473.912343, 363.231794, 301.391413, 217.881024, 173.536652, 127.345835]	Input File Tutorial.
Rh	111	CH2C(-H)OH	0.4428576	[3571.730673, 3067.061417, 2990.82062, 1917.535495, 1412.150914, 1296.318323, 1100.129875, 1016.592102, 975.975281, 934.045586, 692.035295, 613.902619, 592.280257, 502.127594, 463.233685, 381.362369, 230.349633, 173.9931, 142.145224, 137.635542]	Input File Tutorial.
Rh	111	CH2C(-H)OOH	-1.909	[3719.813183, 3074.04216, 2984.470656, 1425.721699, 1402.869565, 1333.218129, 1177.362537, 1102.657002, 1059.326151, 1017.046412, 999.839322, 909.130587, 717.229729, 662.768699, 585.780064, 507.214648, 408.181006, 324.690821, 293.95555, 216.317161, 128.479621, 105.34228, 96.666095]	Input File Tutorial.
Rh	111	CH2CH(-H)O	0.23621958	[3074.633923, 2988.423407, 2916.330436, 1603.748693, 1416.370681, 1346.383883, 1251.205138, 1099.65157, 1011.771879, 947.635911, 898.451972, 711.283571, 672.267376, 536.53709, 444.78121, 414.040043, 316.707768, 163.268509, 127.602082, 109.602619]	Input File Tutorial.
Rh	111	CH2CH(-H)OH	-0.06753534	[3712.611906, 3140.450937, 3057.576279, 2987.037038, 1489.856992, 1441.859778, 1353.742024, 1264.914659, 1221.296735, 1127.350182, 1085.659724, 997.065697, 955.592119, 864.484805, 704.412664, 645.342402, 469.862569, 373.442549, 363.016904, 173.743414, 100, 84.096317, 73.985878]	Input File Tutorial.
Rh	111	CH2CH2O	0.17238879	[3043.580031, 3000.277728, 2969.278403, 2933.167447, 1457.400568, 1423.405764, 1325.605913, 1227.018716, 1152.004582, 1057.656626, 985.348537, 901.422995, 842.671709, 630.702595, 527.837647, 402.000128, 333.396264, 266.436633, 130.249493, 108.545245, 105.566947]	Input File Tutorial.
Rh	111	CH2CH2O-H	0.3669786	[3034.375359, 2974.548381, 2913.68107, 2824.601717, 1430.560113, 1408.081716, 1332.880196, 1225.03322, 1126.643274, 1069.980739, 1015.580555, 896.370235, 860.408875, 836.922697, 658.109647, 627.448797, 468.050907, 420.238264, 343.023232, 229.897001, 152.017266, 122.638749, 77.764234]	Input File Tutorial.
Rh	111	CH2CH2OH	-0.14871573	[3738.315713, 3040.872523, 2986.657502, 2954.452827, 2910.533128, 1471.691946, 1419.816311, 1382.090857, 1251.785208, 1214.710273, 1125.385457, 1059.831684, 1003.572733, 918.995997, 840.723727, 668.860125, 497.175646, 437.78293, 387.110043, 242.503193, 212.599082, 105.326332, 96.990241, 56.798715]	Input File Tutorial.
Rh	111	CH2CHO	0.26855975	[3153.568291, 3060.072574, 2879.908271, 1458.321934, 1381.183769, 1245.062876, 1154.207023, 950.734123, 918.402841, 866.427237, 754.991108, 490.235384, 426.177987, 343.991388, 251.94245, 109.402199, 95.900237, 57.714671]	Input File Tutorial.
Rh	111	CH2CHO-H	0.34509176	[3179.461057, 3084.442002, 3019.762362, 1470.038496, 1391.319394, 1237.896417, 1159.302983, 949.90233, 905.404751, 886.618159, 867.272411, 747.853121, 703.640956, 488.625596, 421.765895, 327.339703, 215.116788, 177.472218, 115.114126, 96.226177]	Input File Tutorial.
Rh	111	CH2CHO-O	-1.019	[3079.620117, 3002.932236, 2970.308394, 1421.733876, 1324.629865, 1243.774851, 1106.765572, 1074.282662, 962.425889, 937.072405, 704.937477, 622.878864, 447.903285, 430.825329, 425.14694, 350.554826, 298.554521, 174.805616, 122.10256, 107.401353]	Input File Tutorial.
Rh	111	CH2CHO-OH	-2.162	[3714.525758, 3057.508831, 2967.328934, 2955.226034, 1417.89329, 1395.324235, 1313.317124, 1120.749712, 1087.520786, 948.744583, 923.654362, 826.920202, 688.809272, 623.143684, 529.904975, 426.820569, 401.789142, 361.403239, 307.629, 280.729711, 123.273501, 104.283502, 101.481006]	Input File Tutorial.
Rh	111	CH2CHOH	-0.025239289	[3628.493746, 3177.786839, 3099.949851, 3080.332809, 1502.991805, 1404.680276, 1270.564347, 1194.698352, 1108.163933, 917.468862, 898.616133, 853.540408, 739.454114, 466.964277, 453.593409, 403.647315, 322.602999, 173.903398, 100, 90.364032, 77.215935]	Input File Tutorial.
Rh	111	CH2CHOO	-1.401	[3063.281748, 2996.099621, 2864.441797, 1402.248701, 1268.10989, 1233.927089, 1059.110801, 1054.005348, 958.411341, 846.519394, 813.331979, 687.284809, 678.186841, 479.310588, 436.688234, 429.654283, 407.352104, 377.710858, 128.656923, 100.494046, 86.667966]	Input File Tutorial.
Rh	111	CH2CHOO-H	-1.068	[3061.268121, 2992.219123, 2884.058321, 1403.9897, 1273.204353, 1252.847339, 1080.60871, 1066.785427, 990.690373, 896.237513, 861.184728, 775.506829, 690.835767, 675.743107, 585.326005, 492.954476, 428.391068, 403.452914, 382.620851, 354.082884, 168.871359, 112.258058, 68.64632]	Input File Tutorial.
Rh	111	CH2CHOOH	-2.329	[3766.079075, 3049.444551, 2988.028752, 2946.803683, 1422.220916, 1376.217892, 1313.505184, 1242.689495, 1112.559866, 1077.881423, 1011.91558, 924.674782, 804.37254, 683.074338, 573.018895, 571.826394, 488.214351, 329.627076, 291.741123, 258.810235, 219.931803, 106.294813, 90.369491, 27.800838]	Input File Tutorial.
Rh	111	CH2CO	0.14693183	[3129.593591, 3034.992853, 1427.822631, 1351.896679, 1065.344919, 960.281131, 897.2198, 692.802278, 566.385292, 426.125913, 350.163408, 306.031557, 208.256497, 171.819242, 114.259883]	Input File Tutorial.
Rh	111	CH2CO-H	1.0650008	[3148.827732, 3053.787326, 1443.193121, 1250.577186, 1079.190824, 949.704338, 914.397084, 885.460927, 779.102582, 692.911859, 555.967455, 432.630959, 336.272028, 301.856608, 229.434274, 194.812329, 159.742936]	Input File Tutorial.
Rh	111	CH2CO-O	-1.027	[3086.118148, 3007.242583, 2010.278691, 1368.238344, 1047.898976, 938.179242, 902.405104, 583.60435, 524.292564, 474.012327, 368.923504, 311.933667, 264.49019, 209.040236, 151.758158, 95.841255, 29.873602]	Input File Tutorial.
Rh	111	CH2CO-OH	-1.476	[3686.112875, 3134.467649, 3044.85351, 1478.876964, 1411.820476, 1035.283847, 971.951588, 919.54324, 828.287724, 676.583203, 580.852764, 534.983227, 443.66773, 381.671511, 372.804098, 286.940343, 271.090322, 158.155945, 123.966634, 118.267534]	Input File Tutorial.
Rh	111	CH2COH	-0.053453922	[3537.497277, 3036.893177, 2972.617326, 1392.186775, 1284.078599, 1113.583852, 980.468435, 971.003793, 950.967741, 584.498002, 580.569102, 494.516688, 425.45094, 279.278122, 260.740211, 165.088664, 150.04449, 113.055477]	Input File Tutorial.
